spine_no,cover_img,title,url,director,country,year
303,https://s3.amazonaws.com/criterion-production/films/7bf78cd08a9162b633aa991245aeefd1/AckPHYCQJF9q9fcWiMHwL2a0WPlNY1_thumbnail.jpg,Bad Timing,https://www.criterion.com/films/744-bad-timing,Nicolas Roeg,United Kingdom,1980
986,https://s3.amazonaws.com/criterion-production/films/0038054059869d507d9fa68b3ae7a378/dm0IkYZsXXqgFyLW4WLEmrePDHITZS_thumbnail.jpg,The Baker’s Wife,https://www.criterion.com/films/29390-the-baker-s-wife,Marcel Pagnol,France,1938
343,https://s3.amazonaws.com/criterion-production/films/473d56f95abb50e7aacadbd88f68c417/hrNgbk1PHREr4sxHJGRqzJbNQlBz7K_thumbnail.jpg,The Bakery Girl of Monceau,https://www.criterion.com/films/786-the-bakery-girl-of-monceau,Eric Rohmer,France,1963
148,https://s3.amazonaws.com/criterion-production/films/f89499b3cbca9503a0cf83ecba01142f/LlDUqJCmbsiL8xBf409dwhXIFKOKBt_thumbnail.jpg,Ballad of a Soldier,https://www.criterion.com/films/343-ballad-of-a-soldier,Grigori Chukhrai,Soviet Union,1959
940,https://s3.amazonaws.com/criterion-production/films/82911fdc4bc68ac69e30cdbcd12a73c1/SBRt5x7q3obOhRoNTuxHxMjIHEG0JN_thumbnail.jpg,The Ballad of Gregorio Cortez,https://www.criterion.com/films/29142-the-ballad-of-gregorio-cortez,Robert M. Young,United States,1982
645,https://s3.amazonaws.com/criterion-production/films/5d52bd515511113629b6bf201b704ef8/vV8RmFH8YX7G5zJJs2jJDVYhCml4wS_thumbnail.jpg,The Ballad of Narayama,https://www.criterion.com/films/28240-the-ballad-of-narayama,Keisuke Kinoshita,Japan,1958
1019,https://s3.amazonaws.com/criterion-production/films/621ace9afe23a305cd3900a50b0ee678/s48ebrkllPeu1rDdXBVnzKQ9ZRR7u4_thumbnail.jpg,Bamboozled,https://www.criterion.com/films/29007-bamboozled,Spike Lee,United States,2000
174,https://s3.amazonaws.com/criterion-production/films/ae260bc49b38999ae5d987f2bac9aeab/Leo6yt5ZClpT2WA4trT7idTMnGhNug_thumbnail.jpg,Band of Outsiders,https://www.criterion.com/films/291-band-of-outsiders,Jean-Luc Godard,France,1964
78,https://s3.amazonaws.com/criterion-production/films/ed560ce125d981a74da5f0b112c643c4/L3qXe0Ml9IhoWPs1K4gtHCLOCKSxMe_thumbnail.jpg,The Bank Dick,https://www.criterion.com/films/617-the-bank-dick,Edward Cline,United States,1940
807,https://s3.amazonaws.com/criterion-production/films/5edbdd9a71ff33ff8fe1c30044aff9ff/tqYv26202uYJDHcI0i3JxQRbXfJUvq_thumbnail.jpg,Barcelona,https://www.criterion.com/films/28691-barcelona,Whit Stillman,United States,1994
,https://s3.amazonaws.com/criterion-production/films/5b837c5b0734c929f7f8b4b65e5be092/7u4CtEJ0FwLvyzhdAnKerBLqcZmwcc_thumbnail.jpg,The Baron of Arizona,https://www.criterion.com/films/881-the-baron-of-arizona,Samuel Fuller,United States,1950
